"R0000100","R0069500","R0536300","R0536402","R0538700","R0554500","R0554800","R1201300","R1236000","R1482600","R1487700","R2463300","R2600200","R2729700","R3481900","R3776700","R3876300","R3884701","R3885200","R3885300","R3885400","R3899100","R3923600","R3925200","R3925300","R5511700","R9829600","S7513500","S7521300","S7521400","S7521500","S7521600","S7521700","S7521800","S7521900","S7522000","S7522100","T0013900","T0022000","T0022100","T0022200","T0022300","T0022400","T0022500","T0022600","T0022700","Z9083800"
3947,2,1,1984,1,-4,-4,-4,2,4,2,2,4,1,2,3,15,9,1,6,4,0,3,0,0,15,33725,12,1000,1100,-4,-4,-4,-4,-4,-4,-4,12,1138,1167,1000,-4,-4,-4,-4,-4,12
3948,2,2,1983,1,2,2,1,2,4,1,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7
3949,2,1,1981,1,1,1,1,2,4,1,2,3,1,1,3,18,9,1,5,1,1,3,0,2,19,4823,9,950,-4,-4,-4,-4,-4,-4,-4,-4,9,1000,-4,-4,-4,-4,-4,-4,-4,9
3950,3,1,1980,1,-4,-4,-4,-3,4,2,3,3,6,2,3,19,9,1,3,0,1,-3,3,3,16,-4,9,1571,-4,-4,-4,-4,-4,-4,-4,-4,9,1562,-4,-4,-4,-4,-4,-4,-4,9
3951,2,1,1984,2,4,2,1,2,1,2,2,4,1,2,3,15,9,4,2,1,1,3,0,1,19,46822,12,1108,1119,-4,-4,-4,-4,-4,-4,-4,12,1045,-4,-4,-4,-4,-4,-4,-4,12
3952,2,2,1980,1,3,3,1,3,4,0,3,3,1,3,-4,19,12,10,2,1,0,-4,0,2,13,43916,12,1000,1350,-4,-4,-4,-4,-4,-4,-4,12,1500,800,-4,-4,-4,-4,-4,-4,12
3953,2,1,1980,1,3,3,1,3,4,2,3,3,1,3,-4,19,12,3,5,0,0,-4,1,3,-4,42865,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12,-4,-4,-4,-4,-4,-4,-4,-4,12
3954,1,2,1983,1,-4,-4,-4,2,4,0,2,2,1,4,2,16,8,2,4,2,1,3,0,0,10,19523,11,896,-4,-4,-4,-4,-4,-4,-4,-4,11,-4,-4,-4,-4,-4,-4,-4,-4,11
3955,3,2,1981,1,-4,-4,-4,2,4,0,2,-3,1,3,3,18,10,10,4,2,0,1,0,0,10,10529,10,679,850,1150,-4,-4,-4,-4,-4,-4,10,1175,700,-4,-4,-4,-4,-4,-4,10
3956,1,1,1980,2,1,1,1,3,1,0,3,3,1,2,4,19,12,1,7,3,0,-4,0,0,17,64517,14,1345,700,-4,-4,-4,-4,-4,-4,-4,14,1100,750,-4,-4,-4,-4,-4,-4,14
3957,2,1,1981,2,1,1,1,3,1,1,3,3,1,3,3,18,12,1,7,3,0,3,0,1,16,60496,12,5343,-4,-4,-4,-4,-4,-4,-4,-4,12,-3,-4,-4,-4,-4,-4,-4,-4,12
3958,2,1,1982,2,1,1,1,2,1,6,2,3,1,1,3,17,9,7,6,3,0,3,0,0,15,32983,11,750,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
3959,3,1,1982,2,1,1,1,3,1,1,3,3,1,3,3,17,11,1,7,3,0,3,0,0,17,43172,12,-3,935,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
3960,2,1,1984,2,-4,-4,-4,2,1,0,2,3,1,1,3,15,9,7,7,3,0,3,0,0,16,72105,14,650,1500,1000,-4,-4,-4,-4,-4,-4,14,750,-4,-4,-4,-4,-4,-4,-4,14
3961,1,1,1981,1,3,3,1,3,4,2,3,3,1,1,5,18,12,1,5,2,0,-4,0,1,17,94225,13,1400,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,13
3962,1,1,1983,1,3,3,1,2,4,2,2,-3,1,3,3,16,9,1,5,2,0,3,2,2,17,48853,12,3419,-4,-4,-4,-4,-4,-4,-4,-4,12,8750,-4,-4,-4,-4,-4,-4,-4,12
3963,2,2,1981,1,1,4,1,1,4,3,3,4,4,3,3,18,11,1,4,1,1,4,0,3,17,73198,17,1300,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,17
3964,2,2,1983,1,1,4,1,1,4,1,2,1,4,3,3,16,9,1,4,1,1,4,0,1,14,48611,16,1000,1056,900,-4,-4,-4,-4,-4,-4,16,5000,1250,-4,-4,-4,-4,-4,-4,17
3965,1,2,1984,1,5,5,1,1,4,0,2,1,4,1,2,15,9,1,4,2,1,1,0,0,17,83563,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,17,-4,-4,-4,-4,-4,-4,-4,-4,17
3966,1,2,1982,1,3,4,1,1,4,0,2,4,4,1,3,17,10,1,4,2,1,4,0,-4,14,95192,12,1419,-4,-4,-4,-4,-4,-4,-4,-4,13,1444,-4,-4,-4,-4,-4,-4,-4,15
3967,2,1,1982,1,2,3,1,3,4,4,3,2,1,2,3,17,11,6,4,1,1,2,4,3,16,88964,16,1080,850,-4,-4,-4,-4,-4,-4,-4,16,1449,-4,-4,-4,-4,-4,-4,-4,16
