"R0000100","R0069500","R0536300","R0536402","R0538700","R0554500","R0554800","R1201300","R1236000","R1482600","R1487700","R2463300","R2600200","R2729700","R3481900","R3776700","R3876300","R3884701","R3885200","R3885300","R3885400","R3899100","R3923600","R3925200","R3925300","R5511700","R9829600","S7513500","S7521300","S7521400","S7521500","S7521600","S7521700","S7521800","S7521900","S7522000","S7522100","T0013900","T0022000","T0022100","T0022200","T0022300","T0022400","T0022500","T0022600","T0022700","Z9083800"
1023,1,2,1983,1,5,5,1,3,2,0,2,4,1,3,3,15,9,1,4,2,1,4,0,0,18,63809,16,2156,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
1024,2,2,1981,1,5,1,1,4,4,0,3,4,1,2,5,18,12,2,5,2,1,-4,0,1,17,95928,16,1400,-4,-4,-4,-4,-4,-4,-4,-4,17,1000,1500,-4,-4,-4,-4,-4,-4,18
1025,1,1,1981,1,2,2,1,2,4,1,3,2,3,3,3,18,11,1,5,1,0,2,0,2,13,75378,12,1601,-4,-4,-4,-4,-4,-4,-4,-4,14,1564,-4,-4,-4,-4,-4,-4,-4,16
1026,2,1,1980,1,2,-2,1,3,4,5,3,3,3,1,3,19,12,2,6,2,1,3,0,1,17,73778,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12,3268,-4,-4,-4,-4,-4,-4,-4,12
1027,2,1,1981,1,3,-2,1,-3,4,0,3,-3,2,3,3,18,12,1,7,3,1,-3,0,3,16,7278,12,792,-4,-4,-4,-4,-4,-4,-4,-4,12,991,-4,-4,-4,-4,-4,-4,-4,12
1028,2,1,1983,1,3,-2,1,2,4,0,2,3,1,1,3,16,10,1,7,3,1,3,1,2,17,79287,12,-3,2000,-4,-4,-4,-4,-4,-4,-4,12,-3,1875,-4,-4,-4,-4,-4,-4,12
1029,3,2,1982,1,1,1,1,2,4,6,3,3,1,2,3,17,8,10,2,1,1,3,0,2,14,59518,8,1600,1400,-4,-4,-4,-4,-4,-4,-4,8,1729,-4,-4,-4,-4,-4,-4,-4,8
1030,1,1,1981,1,1,-2,1,3,4,0,3,3,3,1,3,18,13,5,3,0,1,3,1,1,17,69783,15,-4,-3,-3,-4,-4,-4,-4,-4,-4,15,-3,-3,-4,-4,-4,-4,-4,-4,15
1031,1,1,1982,2,5,3,1,1,1,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,19,43999,14,1350,1333,1080167,-4,-4,-4,-4,-4,-4,15,-3,1300,-4,-4,-4,-4,-4,-4,15
1032,1,1,1982,2,-2,-2,1,2,1,0,2,2,1,1,2,17,9,8,4,3,1,-4,0,0,14,16840,14,1475,-4,-4,-4,-4,-4,-4,-4,-4,14,1000,1475,-4,-4,-4,-4,-4,-4,16
1033,1,2,1983,2,-2,-2,1,2,1,2,2,-4,1,2,3,16,8,8,5,4,1,-3,0,0,12,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,8,-4,-4,-4,-4,-4,-4,-4,-4,8
1034,4,1,1982,2,1,-2,1,2,1,5,2,-3,1,2,2,17,10,2,3,1,1,-4,2,3,16,10319,10,-3,-4,-4,-4,-4,-4,-4,-4,-4,10,25,-4,-4,-4,-4,-4,-4,-4,10
1035,3,2,1981,2,-4,-4,-4,1,1,0,3,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
1036,3,1,1984,2,-2,0,1,-3,1,5,2,-3,5,2,2,15,95,4,5,4,1,-3,0,-4,15,-4,12,857,429,-4,-4,-4,-4,-4,-4,-4,12,2800,-4,-4,-4,-4,-4,-4,-4,12
1037,2,1,1982,2,3,4,1,2,1,3,2,-3,1,2,2,17,8,5,5,3,1,2,4,3,15,835,8,700,600,-4,-4,-4,-4,-4,-4,-4,8,781,-4,-4,-4,-4,-4,-4,-4,8
1038,2,1,1984,2,3,4,1,2,1,5,2,1,1,1,2,15,8,5,5,3,1,2,0,2,15,-4,9,-3,438,-4,-4,-4,-4,-4,-4,-4,9,1425,-4,-4,-4,-4,-4,-4,-4,9
1039,1,2,1984,2,-2,-2,1,2,1,0,2,1,1,3,2,15,8,2,7,5,1,3,2,1,17,12321,10,1188,700,-4,-4,-4,-4,-4,-4,-4,10,1557,-4,-4,-4,-4,-4,-4,-4,12
1040,2,2,1981,2,2,3,1,2,1,3,-5,-5,1,4,3,18,13,4,4,1,1,2,0,2,15,17119,17,1450,1750,-4,-4,-4,-4,-4,-4,-4,17,1486,-4,-4,-4,-4,-4,-4,-4,18
1041,2,1,1981,2,-2,0,1,3,1,0,3,1,1,2,-4,18,9,4,5,3,1,-4,1,2,18,0,10,625,-4,-4,-4,-4,-4,-4,-4,-4,10,725,-4,-4,-4,-4,-4,-4,-4,10
1042,2,2,1982,2,-2,0,1,1,1,0,3,1,1,3,3,17,11,4,5,3,1,1,0,1,13,16713,12,1300,-4,-4,-4,-4,-4,-4,-4,-4,12,1450,-4,-4,-4,-4,-4,-4,-4,13
1043,2,2,1980,2,2,1,1,-3,1,0,3,-3,2,3,-4,19,12,4,5,1,1,-4,0,0,13,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
1044,2,1,1983,2,2,1,1,2,1,0,2,1,1,3,3,16,9,4,5,2,1,1,0,0,12,6128,12,850,750,-4,-4,-4,-4,-4,-4,-4,12,750,-4,-4,-4,-4,-4,-4,-4,12
1045,3,2,1980,2,3,-2,1,3,1,0,3,2,1,3,-4,19,10,4,4,2,1,-4,0,0,11,-4,10,775,600,-4,-4,-4,-4,-4,-4,-4,13,675,700,-4,-4,-4,-4,-4,-4,13
1046,1,1,1983,2,3,-2,1,2,1,0,2,1,1,1,3,16,9,4,4,2,1,1,0,2,10,10082,10,1125,1500,3675,-4,-4,-4,-4,-4,-4,10,1039,1039,1250,1200,-4,-4,-4,-4,10
1047,2,2,1980,2,4,-2,1,-3,1,3,3,4,1,1,-4,19,11,10,2,1,1,-4,0,0,-5,2770,12,838,-4,-4,-4,-4,-4,-4,-4,-4,12,1232,-4,-4,-4,-4,-4,-4,-4,12
1048,1,2,1983,2,1,1,1,2,1,2,2,-3,1,3,3,16,9,-3,3,2,1,-3,0,2,16,-4,12,950,-4,-4,-4,-4,-4,-4,-4,-4,12,1167,-4,-4,-4,-4,-4,-4,-4,12
1049,2,1,1983,1,3,2,1,2,2,3,2,1,1,2,3,16,8,-3,4,2,1,1,1,0,11,13881,8,1100,875,-4,-4,-4,-4,-4,-4,-4,8,1267,-4,-4,-4,-4,-4,-4,-4,8
1050,2,2,1981,2,2,3,1,1,1,3,3,1,1,3,3,19,11,4,5,1,1,1,3,2,-5,139,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12,914,-4,-4,-4,-4,-4,-4,-4,12
1051,2,1,1982,2,2,3,1,-3,1,4,1,3,1,1,3,17,9,4,5,2,1,1,0,2,19,639,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
1052,2,2,1983,2,3,5,1,4,1,2,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9,850,-3,-4,-4,-4,-4,-4,-4,-4,9,750,850,-4,-4,-4,-4,-4,-4,9
1053,1,1,1981,2,2,-2,1,1,1,1,3,1,1,2,3,17,11,4,3,2,1,1,0,0,15,44032,11,1538,925,-4,-4,-4,-4,-4,-4,-4,11,1538,-4,-4,-4,-4,-4,-4,-4,14
1054,2,2,1983,2,3,3,1,2,1,0,2,1,1,1,3,16,9,-3,4,2,1,1,0,0,17,4842,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,11,1000,-4,-4,-4,-4,-4,-4,-4,11
1055,1,2,1982,2,-2,1,1,2,1,0,2,-3,1,3,3,17,10,4,6,4,1,4,1,2,14,-4,12,976,-4,-4,-4,-4,-4,-4,-4,-4,12,1000,-4,-4,-4,-4,-4,-4,-4,12
1056,2,2,1980,2,2,-2,1,-3,1,1,3,-3,2,1,-4,20,11,10,2,0,1,-4,0,0,20,26913,11,771,635,-4,-4,-4,-4,-4,-4,-4,11,1238,635,785,-4,-4,-4,-4,-4,11
1057,3,2,1981,2,2,-2,1,1,1,1,3,1,1,2,3,18,11,-3,5,2,1,1,0,0,16,7205,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,900,-4,-4,-4,-4,-4,-4,-4,12
1058,2,1,1982,2,2,-2,1,1,1,2,3,1,1,2,-4,17,9,4,2,1,1,-4,0,0,20,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9
1059,2,1,1984,2,3,3,1,1,1,1,-5,-5,5,2,2,15,9,4,4,3,1,1,0,0,18,-4,14,1400,828,700,-4,-4,-4,-4,-4,-4,14,1250,-4,-4,-4,-4,-4,-4,-4,14
1060,1,2,1984,2,3,4,1,2,1,0,2,3,1,1,3,15,9,4,2,1,1,-4,0,0,14,46480,13,1167,-4,-4,-4,-4,-4,-4,-4,-4,13,1166,-4,-4,-4,-4,-4,-4,-4,13
1061,2,2,1983,2,3,3,1,2,1,0,2,-3,1,2,3,16,10,4,3,2,1,-3,0,0,16,30329,13,980,700,-4,-4,-4,-4,-4,-4,-4,13,1050,-4,-4,-4,-4,-4,-4,-4,13
1062,1,1,1981,2,2,4,1,3,1,1,3,2,1,3,3,18,11,4,2,0,1,2,1,3,16,13270,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12,733,-4,-4,-4,-4,-4,-4,-4,12
1063,3,1,1982,2,1,-2,1,4,1,3,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,17,44967,12,800,700,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,12
1064,3,2,1981,2,3,2,1,-3,1,0,-5,-5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
1065,2,1,1980,2,1,3,1,3,1,1,3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,15,18481,13,1033,1192,-4,-4,-4,-4,-4,-4,-4,13,1200,-4,-4,-4,-4,-4,-4,-4,13
1066,3,2,1984,2,3,1,1,3,1,1,2,-3,1,2,3,15,9,1,5,3,1,-3,1,0,12,57487,13,1025,-4,-4,-4,-4,-4,-4,-4,-4,14,2500,1100,-4,-4,-4,-4,-4,-4,14
1067,1,2,1983,5,3,-2,1,2,2,3,2,-3,1,3,-4,16,8,1,9,7,1,-4,0,1,16,34815,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,12
1068,2,1,1984,5,3,-2,1,1,2,0,1,2,1,1,2,15,7,1,9,7,1,-3,0,3,16,26063,8,1300,1313,-4,-4,-4,-4,-4,-4,-4,8,1400,-4,-4,-4,-4,-4,-4,-4,8
1069,2,1,1982,1,3,3,1,-3,4,5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9
1070,2,2,1981,2,-2,-2,2,1,1,0,3,2,1,1,3,18,12,3,4,1,1,2,0,0,17,48016,16,1462,1200,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
1071,2,1,1984,5,1,3,1,2,2,0,2,2,1,1,2,15,8,1,4,2,1,2,0,1,18,74768,10,1200,-4,-4,-4,-4,-4,-4,-4,-4,10,1200,-4,-4,-4,-4,-4,-4,-4,14
1072,2,1,1980,2,2,2,2,-3,1,6,3,-3,2,1,3,19,12,10,4,1,1,-3,0,0,17,-4,12,-3,-4,-4,-4,-4,-4,-4,-4,-4,12,-3,-4,-4,-4,-4,-4,-4,-4,12
1073,2,2,1981,1,5,5,1,1,4,0,3,1,3,1,3,18,12,1,4,1,1,1,0,2,14,96849,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
1074,2,1,1983,1,5,5,1,3,4,0,1,2,3,1,3,16,10,1,4,1,1,2,0,-4,11,89970,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,17,-4,-4,-4,-4,-4,-4,-4,-4,20
1075,2,2,1983,2,2,2,1,1,1,1,3,1,1,1,3,16,11,8,5,3,1,1,0,0,17,70261,16,1663,-4,-4,-4,-4,-4,-4,-4,-4,17,1827,1569,-4,-4,-4,-4,-4,-4,20
1076,1,2,1982,1,3,2,1,1,4,2,3,1,3,2,3,17,11,1,5,3,1,1,0,1,17,-4,16,1197,-4,-4,-4,-4,-4,-4,-4,-4,16,1368,-4,-4,-4,-4,-4,-4,-4,16
1077,3,2,1983,1,3,2,1,3,4,1,1,1,3,1,3,16,9,1,5,2,1,1,0,1,15,-4,16,1418,-4,-4,-4,-4,-4,-4,-4,-4,16,1453,-4,-4,-4,-4,-4,-4,-4,16
1078,2,1,1983,1,3,2,1,1,4,1,2,1,1,1,2,16,9,1,4,2,1,1,0,1,19,25218,13,563,-3,-4,-4,-4,-4,-4,-4,-4,13,715,-4,-4,-4,-4,-4,-4,-4,16
1079,3,1,1980,1,4,3,1,2,4,0,-5,-5,1,2,3,19,12,1,4,1,1,2,0,1,13,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13
1080,2,2,1983,1,4,3,1,2,4,1,2,2,1,2,3,16,10,1,4,1,1,2,3,3,15,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
1081,2,1,1983,1,3,7,1,2,4,2,-5,-5,3,1,1,16,9,1,4,2,1,-3,2,1,15,95237,16,-4,-4,-4,-4,-4,-4,-4,-4,-4,17,-4,-4,-4,-4,-4,-4,-4,-4,20
1082,1,2,1982,1,3,4,1,2,4,1,1,2,3,2,3,17,10,1,4,1,1,2,2,0,12,96117,16,1106,1400,1072,-4,-4,-4,-4,-4,-4,16,1703,1106,-4,-4,-4,-4,-4,-4,18
1083,1,2,1980,1,3,5,1,2,4,3,3,2,3,1,5,19,13,1,4,1,1,-4,0,1,15,75922,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
1084,1,2,1982,1,3,5,1,2,4,0,3,2,3,2,3,17,11,1,4,1,1,2,0,2,16,63819,16,1375,1300,-4,-4,-4,-4,-4,-4,-4,16,1350,-4,-4,-4,-4,-4,-4,-4,16
1085,2,1,1980,1,2,2,1,1,4,0,3,1,1,2,3,19,12,1,5,1,1,1,0,1,12,23518,13,1683,24000,1500,-4,-4,-4,-4,-4,-4,13,750,800,1500,1546,-4,-4,-4,-4,13
1086,2,1,1983,1,-4,-4,-4,1,4,0,2,1,1,2,3,16,10,1,5,3,1,1,0,0,17,96974,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,2356,-4,-4,-4,-4,-4,-4,-4,16
1087,2,2,1981,1,1,1,1,1,2,0,3,1,1,1,3,19,12,10,1,0,1,1,0,1,16,93441,17,1729,600,413,-4,-4,-4,-4,-4,-4,17,1919,-4,-4,-4,-4,-4,-4,-4,17
1088,2,2,1984,1,5,5,1,1,4,1,2,1,1,3,3,15,9,1,4,2,1,1,1,3,17,66643,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
1089,3,1,1980,1,3,3,1,1,4,0,3,1,1,1,4,19,13,4,5,2,1,-4,0,1,-5,91722,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13
1090,2,1,1982,1,3,3,1,1,4,2,3,1,1,1,3,17,11,4,5,2,1,1,1,0,-5,84379,13,4611,-4,-4,-4,-4,-4,-4,-4,-4,13,4293,-4,-4,-4,-4,-4,-4,-4,13
1091,2,2,1980,1,-4,-4,-4,2,4,0,-5,-5,1,2,3,19,13,5,4,1,1,2,0,0,18,-4,16,1233,980,-4,-4,-4,-4,-4,-4,-4,16,1645,1200,-4,-4,-4,-4,-4,-4,16
1092,2,2,1982,1,-4,-4,-4,1,4,5,-5,-5,1,5,1,17,10,5,4,2,1,-3,-4,-4,13,-4,16,3083,750,-3,-4,-4,-4,-4,-4,-4,16,1781,-4,-4,-4,-4,-4,-4,-4,19
1093,2,1,1982,5,1,1,3,1,2,0,2,-3,1,2,3,17,11,2,6,2,1,-3,1,0,14,27648,14,-4,1169,-4,-4,-4,-4,-4,-4,-4,14,-4,1140,-4,-4,-4,-4,-4,-4,15
1094,1,1,1980,2,1,1,1,-3,1,1,-5,-5,4,5,3,19,13,1,4,1,1,-3,0,0,16,44847,14,-4,-4,-4,-4,-4,-4,-4,-4,-4,14,-4,-4,-4,-4,-4,-4,-4,-4,14
1095,1,1,1982,2,1,1,1,-3,1,0,-5,-5,4,3,3,17,13,1,4,2,1,-3,0,0,18,51129,14,1100,-4,-4,-4,-4,-4,-4,-4,-4,14,1058,-4,-4,-4,-4,-4,-4,-4,17
1096,2,2,1984,2,2,3,1,-3,1,0,2,1,1,3,3,15,9,4,6,4,1,-3,0,0,15,-4,11,2400,785,-4,-4,-4,-4,-4,-4,-4,11,588,541,2000,-4,-4,-4,-4,-4,11
1097,2,1,1980,2,0,0,3,1,1,3,3,1,1,1,3,19,11,4,2,0,1,1,0,0,18,15719,12,1000,1050,-4,-4,-4,-4,-4,-4,-4,12,1000,-4,-4,-4,-4,-4,-4,-4,12
1098,2,2,1983,2,0,0,3,4,1,1,2,1,1,1,3,16,10,9,3,2,1,1,0,1,18,24971,15,775,1095,-4,-4,-4,-4,-4,-4,-4,14,1660,4000,1333,1138,775,-4,-4,-4,14
1099,4,2,1980,2,-4,-4,-4,1,1,5,-4,-4,1,2,4,19,10,10,3,1,1,-4,0,0,18,41681,14,1784,-4,-4,-4,-4,-4,-4,-4,-4,14,4690,-4,-4,-4,-4,-4,-4,-4,15
1100,1,2,1982,2,7,3,1,2,1,3,3,1,3,1,3,17,11,4,3,2,1,-3,1,2,16,42960,13,900,-4,-4,-4,-4,-4,-4,-4,-4,13,-4,-4,-4,-4,-4,-4,-4,-4,13
1101,4,2,1982,2,2,1,1,-3,1,2,2,1,6,2,-4,17,7,10,3,2,1,-4,0,3,6,8325,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,7,-4,-4,-4,-4,-4,-4,-4,-4,7
1102,1,2,1984,2,2,1,1,-3,1,0,1,1,1,1,1,15,8,4,9,7,1,-3,0,0,15,7270,-3,976,700,-4,-4,-4,-4,-4,-4,-4,-3,1075,950,-4,-4,-4,-4,-4,-4,-3
1103,2,2,1984,5,3,-2,3,-3,2,0,1,-3,1,3,1,15,8,4,6,5,1,1,0,0,16,14495,12,721,-4,-4,-4,-4,-4,-4,-4,-4,12,721,-4,-4,-4,-4,-4,-4,-4,12
1104,2,2,1981,1,3,3,1,2,4,2,-5,-5,3,1,3,18,11,1,5,2,1,-3,1,3,18,21080,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
1105,2,2,1983,1,3,3,1,4,4,1,2,-3,3,1,3,16,10,1,5,2,1,4,0,1,18,39864,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
1106,3,1,1980,1,2,2,1,2,4,5,3,1,1,3,-4,19,9,10,3,0,1,-4,0,0,15,-4,9,750,-3,-4,-4,-4,-4,-4,-4,-4,9,712,-4,-4,-4,-4,-4,-4,-4,9
1107,2,2,1982,1,2,2,1,2,4,0,2,1,1,3,3,17,8,9,8,6,1,3,0,0,10,-4,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,9,-4,-4,-4,-4,-4,-4,-4,-4,9
1108,2,1,1983,5,3,4,1,2,3,2,2,1,1,1,3,16,10,1,6,4,1,1,0,3,16,29364,16,1500,-3,-3,1600,1200,-4,-4,-4,-4,17,1553,337,-4,-4,-4,-4,-4,-4,19
1109,1,2,1984,1,2,3,1,2,4,0,1,-3,3,1,3,15,9,1,4,2,1,4,0,1,15,61161,16,1500,1000,-4,-4,-4,-4,-4,-4,-4,17,1900,-4,-4,-4,-4,-4,-4,-4,17
1110,4,1,1981,1,3,3,1,1,4,0,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
1111,2,1,1984,1,3,3,1,1,4,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13,-4,-4,-4,-4,-4,-4,-4,-4,-4,13,-4,-4,-4,-4,-4,-4,-4,-4,14
1112,2,1,1981,1,3,3,1,1,4,0,3,1,3,3,3,18,11,1,4,1,0,1,0,0,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,18
1113,2,1,1981,1,3,3,1,2,4,2,3,2,1,1,3,18,12,2,3,0,0,2,1,2,18,98827,16,1369,-4,-4,-4,-4,-4,-4,-4,-4,16,-3,1900,-4,-4,-4,-4,-4,-4,16
1114,1,2,1983,5,4,3,1,-3,2,1,2,2,1,1,2,16,10,2,4,2,0,2,0,0,20,34749,12,1674,5600,2200,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
1115,2,1,1982,1,3,1,1,1,4,2,1,1,1,3,3,17,9,1,5,3,0,1,4,2,16,70938,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,14,2181,1348,-4,-4,-4,-4,-4,-4,14
1116,1,2,1983,1,5,5,1,3,4,1,1,1,3,2,3,16,10,1,4,2,0,1,0,1,15,86260,16,1538,-4,-4,-4,-4,-4,-4,-4,-4,16,2640,-4,-4,-4,-4,-4,-4,-4,19
1117,2,1,1984,1,5,5,1,3,4,1,1,2,3,1,1,14,8,1,4,2,0,1,0,0,14,47520,15,-3,1125,-4,-4,-4,-4,-4,-4,-4,15,1154,-3,5344,-3,481,900,-4,-4,15
1118,2,2,1980,1,1,1,1,1,4,3,3,1,1,3,5,19,13,1,4,1,1,-4,1,3,15,91258,16,1484,-4,-4,-4,-4,-4,-4,-4,-4,16,1644,-4,-4,-4,-4,-4,-4,-4,18
1119,2,2,1983,1,1,1,1,1,2,0,2,-3,1,2,3,15,9,1,4,1,1,-3,0,1,10,76267,16,427,-4,-4,-4,-4,-4,-4,-4,-4,16,-3,1200,-4,-4,-4,-4,-4,-4,20
1120,2,2,1980,1,3,2,1,1,4,1,3,1,1,1,5,19,13,1,3,0,1,-4,0,1,15,99132,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,20
1121,3,2,1984,1,1,-2,1,1,4,2,2,1,1,1,3,15,9,2,4,2,1,1,0,2,15,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,14
1122,2,1,1980,1,5,3,1,1,4,1,3,1,1,2,5,19,13,1,4,1,1,-4,0,2,14,95644,18,3847,-4,-4,-4,-4,-4,-4,-4,-4,20,5299,-4,-4,-4,-4,-4,-4,-4,20
1123,1,2,1984,1,5,3,1,1,4,0,2,4,1,1,2,14,8,1,4,1,1,-3,0,1,15,70116,15,1730,2713,-4,-4,-4,-4,-4,-4,-4,15,30200,1282,1379,-4,-4,-4,-4,-4,17
1124,2,1,1982,5,3,2,3,1,2,5,2,1,1,3,3,17,9,8,2,1,1,4,0,0,16,20702,10,1000,-4,-4,-4,-4,-4,-4,-4,-4,10,1075,-4,-4,-4,-4,-4,-4,-4,10
1125,1,1,1983,2,1,1,1,-3,1,1,3,3,3,3,3,16,9,9,2,1,0,3,0,0,17,-4,12,1473,-4,-4,-4,-4,-4,-4,-4,-4,12,1239,1489,1581,-4,-4,-4,-4,-4,12
1126,2,1,1980,2,-4,-4,-4,1,1,0,3,1,1,3,5,19,13,2,6,3,1,-4,0,0,15,75659,18,2404,-3,-4,-4,-4,-4,-4,-4,-4,18,2644,-4,-4,-4,-4,-4,-4,-4,20
1127,2,2,1982,2,3,-2,1,2,1,3,3,2,1,2,3,17,11,9,2,1,1,1,0,0,16,-4,13,1192,-4,-4,-4,-4,-4,-4,-4,-4,13,1346,850,-4,-4,-4,-4,-4,-4,13
1128,2,2,1984,2,2,2,1,2,1,0,1,1,3,2,3,15,9,8,5,3,1,1,0,0,16,42916,15,1000,1000,1500,-4,-4,-4,-4,-4,-4,15,1000,-4,-4,-4,-4,-4,-4,-4,17
1129,2,1,1983,1,4,2,1,1,4,5,2,1,1,2,3,16,10,4,4,3,0,1,1,0,17,94837,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,12,-4,-4,-4,-4,-4,-4,-4,-4,16
1130,2,1,1984,1,4,2,1,2,4,2,1,1,1,2,3,15,8,4,4,3,0,-3,1,2,19,77228,12,1215,1500,-4,-4,-4,-4,-4,-4,-4,12,1600,1550,1331,-4,-4,-4,-4,-4,12
1131,2,1,1983,1,3,3,1,1,4,0,2,1,1,1,2,16,9,1,4,2,0,-3,0,0,20,24545,14,1077,1500,-4,-4,-4,-4,-4,-4,-4,14,1200,-4,-4,-4,-4,-4,-4,-4,14
1132,2,2,1981,1,5,5,3,-3,4,2,3,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5580,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
1133,2,2,1982,1,3,5,1,1,4,1,2,1,1,1,3,16,10,4,3,2,0,1,0,3,16,67804,15,1425,1300,-4,-4,-4,-4,-4,-4,-4,15,2500,-4,-4,-4,-4,-4,-4,-4,15
1134,2,2,1984,1,3,5,1,2,4,2,1,1,1,2,2,14,8,4,3,2,0,-3,0,1,13,75646,12,1834,750,938,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,12
1135,2,1,1984,1,7,5,1,1,4,0,2,1,1,2,3,15,9,1,5,3,0,1,0,0,14,80559,16,-3,-4,-4,-4,-4,-4,-4,-4,-4,16,2550,-4,-4,-4,-4,-4,-4,-4,16
1136,2,1,1981,1,3,3,1,2,4,6,-5,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,9
1137,2,1,1981,1,3,3,1,2,4,0,3,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,-5,16,2913,2310,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
1138,3,2,1981,1,3,3,1,2,4,0,3,2,1,2,3,18,12,1,4,0,1,2,0,1,14,50223,16,3616,2283,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,16
1139,1,2,1983,1,3,-2,1,4,4,0,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,7
